device_id,timestamp,duration_minutes,business_type,zone,device_type,signal_strength_dBm,data_used_MB,session_duration_minutes,peak_usage_hour
D2272,2025-06-17 19:10:00,46,Business Cafe,Waiting Area,Tablet,-87.83110728023759,492.0419669140454,74,10
D6619,2025-06-17 08:32:00,58,Business Cafe,Display Area,Phone,-39.05092301769688,395.04088519704067,69,20
D4549,2025-06-17 08:11:00,39,Business Cafe,Checkout,Smartwatch,-54.148619479731835,858.4962634531468,109,1
D9237,2025-06-17 19:59:00,27,Business Cafe,Waiting Area,Phone,-58.48801072544293,432.5811319075416,15,4
D4467,2025-06-17 16:45:00,48,Business Cafe,Waiting Area,Tablet,-82.60654136326865,751.7415759944764,90,14
D4435,2025-06-17 18:08:00,36,Business Cafe,Checkout,Phone,-85.63225122221566,172.74138597822187,110,2
D6799,2025-06-17 13:23:00,3,Business Cafe,Display Area,Tablet,-77.66504024126486,867.1406560106232,46,19
D5776,2025-06-17 16:09:00,55,Business Cafe,Checkout,Phone,-39.3536915243178,507.94577573188906,64,1
D7896,2025-06-17 19:30:00,10,Business Cafe,Checkout,Phone,-63.274611820266436,400.81320615226224,53,11
D7896,2025-06-17 19:30:00,10,Business Cafe,Checkout,Phone,-63.274611820266436,400.81320615226224,53,11
D5278,2025-06-17 08:23:00,52,Business Cafe,Entrance,Tablet,-69.05517656886437,749.4484886745219,1,21
D4148,2025-06-17 15:11:00,11,Business Cafe,Entrance,Smartwatch,-52.589359155197265,127.91058283474294,25,7
D5407,2025-06-17 19:26:00,59,Business Cafe,Display Area,Laptop,-78.60759772359226,336.9500402793404,54,12
D3512,2025-06-17 13:02:00,8,Business Cafe,Entrance,Tablet,-30.599088408556604,468.9547385244449,61,5
D1946,2025-06-17 12:48:00,52,Business Cafe,Display Area,Laptop,-54.196916998753586,280.0265425714984,8,11
D2295,2025-06-17 19:17:00,56,Business Cafe,Seating,Smartwatch,-61.45608118118868,106.15151140925978,14,10
D3239,2025-06-17 08:20:00,26,Business Cafe,Checkout,Smartwatch,-30.99926098933698,182.0208143026118,62,22
D5278,2025-06-17 08:23:00,52,Business Cafe,Entrance,Tablet,-69.05517656886437,749.4484886745219,1,21
D4380,2025-06-17 10:17:00,60,Business Cafe,Display Area,Laptop,-34.35298590879178,886.657460244629,120,11
D5642,2025-06-17 17:53:00,51,Business Cafe,Seating,Phone,-41.87950547107524,559.3955846865031,76,6
D3239,2025-06-17 08:20:00,26,Business Cafe,Checkout,Smartwatch,-30.99926098933698,182.0208143026118,62,22
D6443,2025-06-17 13:12:00,42,Business Cafe,Waiting Area,Tablet,-51.86753955421881,90.269073963197,93,2
D6997,2025-06-17 09:11:00,8,Business Cafe,Display Area,Tablet,-33.88411542067077,755.349891349938,95,4
D4435,2025-06-17 18:08:00,36,Business Cafe,Checkout,Phone,-85.63225122221566,172.74138597822187,110,2
D9448,2025-06-17 19:07:00,16,Business Cafe,Seating,Laptop,-51.11670092646432,365.15234698781614,4,12
D6880,2025-06-17 18:20:00,48,Business Cafe,Display Area,Laptop,-81.41219630289334,210.6837232423229,92,5
D8315,2025-06-17 12:12:00,12,Business Cafe,Checkout,Phone,-86.92555528750333,102.18557579322676,63,5
D1946,2025-06-17 12:48:00,52,Business Cafe,Display Area,Laptop,-54.196916998753586,280.0265425714984,8,11
D2239,2025-06-17 17:41:00,53,Business Cafe,Seating,Smartwatch,-83.9833745862848,908.3897923160205,70,5
D5625,2025-06-17 16:06:00,13,Business Cafe,Waiting Area,Phone,-61.99993285541881,991.5076100651397,25,0
D6317,2025-06-17 17:16:00,49,Business Cafe,Checkout,Tablet,-77.79884115203221,500.5704740031419,17,1
D2943,2025-06-17 11:43:00,32,Business Cafe,Display Area,Smartwatch,-45.11576467181898,677.6007042731046,2,7
D7448,2025-06-17 16:28:00,23,Business Cafe,Checkout,Smartwatch,-47.51416049113364,623.7648978500841,46,23
