device_id,timestamp,duration_minutes,business_type,zone,device_type
D7326,2025-06-17 11:52:00,47,Business Cafe,Entrance,Phone
D3239,2025-06-17 08:20:00,26,Business Cafe,Checkout,Smartwatch
D3512,2025-06-17 13:02:00,8,Business Cafe,Entrance,Tablet
D4081,2025-06-17 12:26:00,8,Business Cafe,Checkout,Phone
D9618,2025-06-17 09:36:00,39,Business Cafe,Entrance,Smartwatch
D3723,2025-06-17 18:55:00,41,Business Cafe,Display Area,Phone
D8451,2025-06-17 19:32:00,23,Business Cafe,Checkout,Smartwatch
D4524,2025-06-17 10:04:00,29,Business Cafe,Waiting Area,Smartwatch
D6936,2025-06-17 19:19:00,39,Business Cafe,Seating,Smartwatch
D1919,2025-06-17 11:36:00,21,Business Cafe,Entrance,Laptop
D1598,2025-06-17 13:33:00,13,Business Cafe,Entrance,Smartwatch
D3008,2025-06-17 13:49:00,13,Business Cafe,Display Area,Tablet
D7090,2025-06-17 18:15:00,7,Business Cafe,Entrance,Smartwatch
D4902,2025-06-17 19:39:00,25,Business Cafe,Checkout,Phone
D4549,2025-06-17 08:11:00,39,Business Cafe,Checkout,Smartwatch
D8956,2025-06-17 13:44:00,19,Business Cafe,Waiting Area,Phone
D4151,2025-06-17 16:29:00,55,Business Cafe,Seating,Phone
D1862,2025-06-17 10:15:00,17,Business Cafe,Seating,Phone
D1349,2025-06-17 19:56:00,13,Business Cafe,Waiting Area,Laptop
D6954,2025-06-17 17:21:00,60,Business Cafe,Display Area,Tablet
D4435,2025-06-17 18:08:00,36,Business Cafe,Checkout,Phone
D1946,2025-06-17 12:48:00,52,Business Cafe,Display Area,Laptop
D8547,2025-06-17 11:53:00,43,Business Cafe,Seating,Smartwatch
D5407,2025-06-17 19:26:00,59,Business Cafe,Display Area,Laptop
D9881,2025-06-17 16:38:00,6,Business Cafe,Entrance,Laptop
D7390,2025-06-17 14:25:00,27,Business Cafe,Waiting Area,Laptop
D2169,2025-06-17 15:35:00,11,Business Cafe,Checkout,Smartwatch
D7670,2025-06-17 11:08:00,48,Business Cafe,Seating,Tablet
D4794,2025-06-17 10:14:00,27,Business Cafe,Checkout,Smartwatch
D4380,2025-06-17 10:17:00,60,Business Cafe,Display Area,Laptop
D5278,2025-06-17 11:08:00,31,Business Cafe,Display Area,Smartwatch
D9701,2025-06-17 13:12:00,8,Business Cafe,Waiting Area,Phone
D9448,2025-06-17 19:07:00,16,Business Cafe,Seating,Laptop
D5376,2025-06-17 11:17:00,39,Business Cafe,Entrance,Smartwatch
D8761,2025-06-17 14:46:00,3,Business Cafe,Seating,Smartwatch
D2373,2025-06-17 16:20:00,33,Business Cafe,Checkout,Smartwatch
D1380,2025-06-17 16:34:00,12,Business Cafe,Display Area,Tablet
D5642,2025-06-17 17:53:00,51,Business Cafe,Seating,Phone
D2581,2025-06-17 08:14:00,32,Business Cafe,Waiting Area,Tablet
D2103,2025-06-17 09:12:00,37,Business Cafe,Entrance,Laptop
D5170,2025-06-17 09:37:00,29,Business Cafe,Seating,Smartwatch
D7448,2025-06-17 16:28:00,23,Business Cafe,Checkout,Smartwatch
D3169,2025-06-17 14:42:00,36,Business Cafe,Display Area,Phone
D2922,2025-06-17 08:25:00,36,Business Cafe,Display Area,Laptop
D8906,2025-06-17 08:54:00,60,Business Cafe,Display Area,Phone
D2104,2025-06-17 15:58:00,8,Business Cafe,Entrance,Phone
D1403,2025-06-17 08:18:00,56,Business Cafe,Checkout,Smartwatch
D5214,2025-06-17 17:51:00,45,Business Cafe,Waiting Area,Phone
D5625,2025-06-17 16:06:00,13,Business Cafe,Waiting Area,Phone
D1125,2025-06-17 08:50:00,54,Business Cafe,Entrance,Tablet
D2496,2025-06-17 13:18:00,22,Business Cafe,Display Area,Smartwatch
D2272,2025-06-17 19:10:00,46,Business Cafe,Waiting Area,Tablet
D2295,2025-06-17 19:17:00,56,Business Cafe,Seating,Smartwatch
D7630,2025-06-17 15:18:00,25,Business Cafe,Waiting Area,Phone
D1639,2025-06-17 18:41:00,22,Business Cafe,Waiting Area,Laptop
D3606,2025-06-17 10:16:00,45,Business Cafe,Waiting Area,Smartwatch
D8343,2025-06-17 10:06:00,11,Business Cafe,Seating,Phone
D8315,2025-06-17 12:12:00,12,Business Cafe,Checkout,Phone
D2943,2025-06-17 11:43:00,32,Business Cafe,Display Area,Smartwatch
D6997,2025-06-17 09:11:00,8,Business Cafe,Display Area,Tablet
D4467,2025-06-17 16:45:00,48,Business Cafe,Waiting Area,Tablet
D4078,2025-06-17 18:51:00,4,Business Cafe,Entrance,Smartwatch
D4433,2025-06-17 10:16:00,6,Business Cafe,Seating,Smartwatch
D6443,2025-06-17 13:12:00,42,Business Cafe,Waiting Area,Tablet
D6077,2025-06-17 14:11:00,31,Business Cafe,Entrance,Smartwatch
D4053,2025-06-17 18:04:00,30,Business Cafe,Display Area,Smartwatch
D3129,2025-06-17 19:07:00,5,Business Cafe,Entrance,Tablet
D3801,2025-06-17 12:21:00,35,Business Cafe,Display Area,Laptop
D3675,2025-06-17 14:08:00,30,Business Cafe,Entrance,Tablet
