device_id,timestamp,duration_minutes,business_type,zone,device_type
D5677,2025-06-17 15:51:00,36,Restaurant,Seating,Phone
D8462,2025-06-17 13:28:00,56,Restaurant,Checkout,Phone
D6711,2025-06-17 15:23:00,57,Restaurant,Display Area,Tablet
D3342,2025-06-17 08:07:00,18,Restaurant,Waiting Area,Tablet
D8373,2025-06-17 12:50:00,15,Restaurant,Checkout,Tablet
D3717,2025-06-17 19:48:00,57,Restaurant,Seating,Laptop
D2760,2025-06-17 11:14:00,40,Restaurant,Display Area,Laptop
D5852,2025-06-17 17:36:00,23,Restaurant,Waiting Area,Smartwatch
D3669,2025-06-17 17:23:00,2,Restaurant,Checkout,Smartwatch
D8888,2025-06-17 10:01:00,21,Restaurant,Seating,Phone
D4640,2025-06-17 12:24:00,21,Restaurant,Entrance,Phone
D9051,2025-06-17 10:23:00,44,Restaurant,Waiting Area,Laptop
D2226,2025-06-17 10:33:00,45,Restaurant,Entrance,Smartwatch
D5218,2025-06-17 16:09:00,16,Restaurant,Waiting Area,Smartwatch
D4259,2025-06-17 18:30:00,53,Restaurant,Checkout,Laptop
D1040,2025-06-17 18:05:00,49,Restaurant,Checkout,Tablet
D6038,2025-06-17 08:17:00,39,Restaurant,Seating,Phone
D8591,2025-06-17 17:15:00,34,Restaurant,Waiting Area,Laptop
D5463,2025-06-17 17:52:00,58,Restaurant,Seating,Smartwatch
D6109,2025-06-17 08:47:00,52,Restaurant,Checkout,Phone
D5590,2025-06-17 14:09:00,5,Restaurant,Entrance,Tablet
D8766,2025-06-17 09:37:00,2,Restaurant,Display Area,Tablet
D2097,2025-06-17 10:21:00,33,Restaurant,Checkout,Phone
D8005,2025-06-17 10:26:00,41,Restaurant,Entrance,Phone
D1939,2025-06-17 09:19:00,19,Restaurant,Checkout,Smartwatch
D2285,2025-06-17 17:46:00,60,Restaurant,Checkout,Tablet
D4453,2025-06-17 14:41:00,44,Restaurant,Display Area,Laptop
D7695,2025-06-17 15:09:00,16,Restaurant,Seating,Smartwatch
D8281,2025-06-17 08:36:00,44,Restaurant,Checkout,Smartwatch
D5407,2025-06-17 19:56:00,17,Restaurant,Entrance,Tablet
D3294,2025-06-17 11:33:00,11,Restaurant,Checkout,Laptop
D8740,2025-06-17 15:49:00,29,Restaurant,Seating,Smartwatch
D6544,2025-06-17 19:34:00,51,Restaurant,Entrance,Smartwatch
D6312,2025-06-17 09:14:00,17,Restaurant,Waiting Area,Laptop
D5859,2025-06-17 19:25:00,26,Restaurant,Seating,Phone
D9314,2025-06-17 09:42:00,28,Restaurant,Waiting Area,Laptop
D3220,2025-06-17 16:26:00,16,Restaurant,Checkout,Tablet
D7331,2025-06-17 10:21:00,9,Restaurant,Waiting Area,Tablet
D7389,2025-06-17 19:00:00,18,Restaurant,Checkout,Phone
D2047,2025-06-17 15:42:00,36,Restaurant,Display Area,Smartwatch
D4959,2025-06-17 12:34:00,54,Restaurant,Checkout,Tablet
D4398,2025-06-17 09:15:00,7,Restaurant,Display Area,Tablet
D3138,2025-06-17 15:49:00,13,Restaurant,Checkout,Smartwatch
D3517,2025-06-17 15:37:00,40,Restaurant,Entrance,Phone
D3617,2025-06-17 18:00:00,33,Restaurant,Waiting Area,Tablet
D6891,2025-06-17 18:05:00,2,Restaurant,Seating,Tablet
D2392,2025-06-17 17:59:00,46,Restaurant,Waiting Area,Tablet
D3800,2025-06-17 14:03:00,21,Restaurant,Checkout,Tablet
D1700,2025-06-17 14:38:00,59,Restaurant,Checkout,Phone
D9199,2025-06-17 16:14:00,58,Restaurant,Display Area,Phone
D8979,2025-06-17 14:10:00,56,Restaurant,Checkout,Tablet
D4746,2025-06-17 12:10:00,6,Restaurant,Seating,Laptop
D2610,2025-06-17 13:34:00,17,Restaurant,Entrance,Smartwatch
D3157,2025-06-17 13:46:00,42,Restaurant,Display Area,Tablet
D8305,2025-06-17 16:20:00,54,Restaurant,Waiting Area,Smartwatch
D6676,2025-06-17 13:05:00,19,Restaurant,Seating,Tablet
D4360,2025-06-17 18:57:00,53,Restaurant,Entrance,Smartwatch
D8214,2025-06-17 14:41:00,44,Restaurant,Waiting Area,Smartwatch
D1258,2025-06-17 17:02:00,55,Restaurant,Waiting Area,Tablet
D6948,2025-06-17 16:00:00,20,Restaurant,Waiting Area,Phone
D5685,2025-06-17 19:37:00,6,Restaurant,Seating,Laptop
D5876,2025-06-17 17:00:00,56,Restaurant,Display Area,Smartwatch
D7874,2025-06-17 08:17:00,41,Restaurant,Display Area,Laptop
D3419,2025-06-17 18:17:00,14,Restaurant,Display Area,Tablet
D7978,2025-06-17 15:18:00,35,Restaurant,Display Area,Smartwatch
D3198,2025-06-17 16:09:00,46,Restaurant,Waiting Area,Laptop
D1910,2025-06-17 08:02:00,56,Restaurant,Display Area,Tablet
D9071,2025-06-17 15:36:00,24,Restaurant,Entrance,Smartwatch
D8512,2025-06-17 14:26:00,51,Restaurant,Entrance,Tablet
D4672,2025-06-17 08:56:00,23,Restaurant,Display Area,Smartwatch
D9815,2025-06-17 10:05:00,39,Restaurant,Display Area,Phone
D8601,2025-06-17 13:33:00,47,Restaurant,Display Area,Phone
D9004,2025-06-17 17:09:00,49,Restaurant,Entrance,Tablet
D9997,2025-06-17 08:49:00,31,Restaurant,Waiting Area,Laptop
D9545,2025-06-17 18:02:00,32,Restaurant,Entrance,Phone
D4459,2025-06-17 19:11:00,45,Restaurant,Checkout,Phone
