device_id,timestamp,duration_minutes,business_type,zone,device_type,signal_strength_dBm,data_used_MB,session_duration_minutes,peak_usage_hour
D4523,2025-06-17 15:26:00,31,Hospital,Display Area,Laptop,-36.01635869219887,327.83329110987313,63,23
D2250,2025-06-17 17:59:00,12,Hospital,Seating,Laptop,-69.83262880624838,255.1102654858896,120,11
D9450,2025-06-17 17:29:00,19,Hospital,Waiting Area,Tablet,-37.895413008018316,599.6409536285805,103,19
D1459,2025-06-17 19:07:00,45,Hospital,Waiting Area,Laptop,-87.56652907433241,958.4357163733539,60,6
D5195,2025-06-17 13:30:00,13,Hospital,Display Area,Smartwatch,-48.472285619095516,495.141799144023,5,16
D3327,2025-06-17 14:35:00,33,Hospital,Seating,Laptop,-50.368456716143875,331.84939926706573,67,3
D8001,2025-06-17 15:41:00,9,Hospital,Entrance,Tablet,-85.37882135672344,288.6007784658167,110,22
D2467,2025-06-17 12:59:00,47,Hospital,Display Area,Tablet,-61.36680789569243,379.402886536943,55,18
D1016,2025-06-17 08:22:00,5,Hospital,Display Area,Smartwatch,-36.12781906809987,258.59632361113984,28,2
D1016,2025-06-17 08:22:00,5,Hospital,Display Area,Smartwatch,-36.12781906809987,258.59632361113984,28,2
D3732,2025-06-17 17:13:00,24,Hospital,Entrance,Laptop,-46.93223186194826,691.1430134201626,46,12
D5842,2025-06-17 15:45:00,59,Hospital,Seating,Phone,-37.585644915559875,388.7830058547752,69,7
D4988,2025-06-17 09:43:00,58,Hospital,Seating,Phone,-60.06861281948069,924.064023838882,7,23
D7698,2025-06-17 14:06:00,19,Hospital,Display Area,Smartwatch,-44.00370392775988,167.07404543507653,34,12
D1721,2025-06-17 19:17:00,57,Hospital,Checkout,Laptop,-55.11792265833735,13.890565316549507,31,18
D3774,2025-06-17 12:37:00,4,Hospital,Waiting Area,Tablet,-75.2200634061941,392.9420553490768,27,17
D2770,2025-06-17 15:56:00,45,Hospital,Entrance,Smartwatch,-86.77305627364778,615.1555204797248,15,2
D3732,2025-06-17 17:13:00,24,Hospital,Entrance,Laptop,-46.93223186194826,691.1430134201626,46,12
D5835,2025-06-17 18:34:00,48,Hospital,Checkout,Phone,-64.6741432045207,761.1319006399177,68,19
D1498,2025-06-17 17:53:00,47,Hospital,Seating,Laptop,-87.13482150094715,176.26011362555806,3,14
D2770,2025-06-17 15:56:00,45,Hospital,Entrance,Smartwatch,-86.77305627364778,615.1555204797248,15,2
D4817,2025-06-17 11:15:00,58,Hospital,Waiting Area,Smartwatch,-65.17212798834849,900.1917646624689,104,10
