device_id,timestamp,duration_minutes,business_type,zone,device_type,signal_strength_dBm,data_used_MB,session_duration_minutes,peak_usage_hour
D4746,2025-06-17 12:10:00,6,Restaurant,Seating,Laptop,-48.62646920957794,533.7554216703887,48,22
D3288,2025-06-17 09:26:00,27,Restaurant,Seating,Laptop,-44.88738621258476,202.76236932278465,38,12
D4259,2025-06-17 18:30:00,53,Restaurant,Checkout,Laptop,-60.70881650724367,356.77069872428217,33,17
D8601,2025-06-17 13:33:00,47,Restaurant,Display Area,Phone,-30.883805495264674,82.34201449562195,110,3
D5685,2025-06-17 19:37:00,6,Restaurant,Seating,Laptop,-79.47213789948367,896.0607455591615,97,8
D5590,2025-06-17 14:09:00,5,Restaurant,Entrance,Tablet,-40.64475029707074,687.4217473304955,19,3
D4925,2025-06-17 18:44:00,31,Restaurant,Display Area,Laptop,-65.82367333155634,67.51956600052871,99,7
D7537,2025-06-17 16:30:00,49,Restaurant,Checkout,Phone,-57.27283227731017,677.0058408571167,45,18
D9545,2025-06-17 18:02:00,32,Restaurant,Entrance,Phone,-81.8521245647756,192.5963354207116,94,23
D9545,2025-06-17 18:02:00,32,Restaurant,Entrance,Phone,-81.8521245647756,192.5963354207116,94,23
D4124,2025-06-17 14:34:00,5,Restaurant,Seating,Laptop,-30.879497514278583,308.51742527034355,84,17
D4899,2025-06-17 15:44:00,44,Restaurant,Display Area,Phone,-30.945312939339622,422.7639599891343,102,15
D8005,2025-06-17 10:26:00,41,Restaurant,Entrance,Phone,-56.41993810879406,970.0390828714031,21,16
D6711,2025-06-17 15:23:00,57,Restaurant,Display Area,Tablet,-59.031268023902804,773.1739253138994,91,13
D8766,2025-06-17 09:37:00,2,Restaurant,Display Area,Tablet,-87.27919178283645,514.5782430893308,10,15
D2610,2025-06-17 13:34:00,17,Restaurant,Entrance,Smartwatch,-72.75982055647768,294.21843647498264,30,5
D8462,2025-06-17 13:28:00,56,Restaurant,Checkout,Phone,-44.85238247140153,183.0102320953695,27,21
D4124,2025-06-17 14:34:00,5,Restaurant,Seating,Laptop,-30.879497514278583,308.51742527034355,84,17
D5407,2025-06-17 19:56:00,17,Restaurant,Entrance,Tablet,-51.61494314193812,581.2772295050959,116,3
D7331,2025-06-17 10:21:00,9,Restaurant,Waiting Area,Tablet,-47.59321311090304,867.6744284169216,24,5
D8462,2025-06-17 13:28:00,56,Restaurant,Checkout,Phone,-44.85238247140153,183.0102320953695,27,21
D3419,2025-06-17 18:17:00,14,Restaurant,Display Area,Tablet,-33.966689016808786,727.1168466176857,51,9
D6948,2025-06-17 16:00:00,20,Restaurant,Waiting Area,Phone,-30.547144981303006,227.22791104772475,63,22
D5590,2025-06-17 14:09:00,5,Restaurant,Entrance,Tablet,-40.64475029707074,687.4217473304955,19,3
D6544,2025-06-17 19:34:00,51,Restaurant,Entrance,Smartwatch,-47.36602805814281,972.1639392566763,18,7
D4459,2025-06-17 19:11:00,45,Restaurant,Checkout,Phone,-54.94334132492254,729.266338271978,104,20
D8214,2025-06-17 14:41:00,44,Restaurant,Waiting Area,Smartwatch,-78.2326022451546,573.0793419640567,54,12
D8766,2025-06-17 09:37:00,2,Restaurant,Display Area,Tablet,-87.27919178283645,514.5782430893308,10,15
D3798,2025-06-17 15:40:00,12,Restaurant,Seating,Tablet,-85.44951884145574,650.9660638809104,75,19
D1700,2025-06-17 14:38:00,59,Restaurant,Checkout,Phone,-85.63452965051742,862.3994582554958,97,2
D1330,2025-06-17 09:49:00,18,Restaurant,Display Area,Laptop,-41.84896252779598,86.94776243817732,119,18
D1258,2025-06-17 17:02:00,55,Restaurant,Waiting Area,Tablet,-78.92732939050548,264.94901706620726,67,14
D4398,2025-06-17 09:15:00,7,Restaurant,Display Area,Tablet,-89.04239338125184,201.59891384009487,115,11
D3745,2025-06-17 11:07:00,59,Restaurant,Seating,Tablet,-30.104502007812272,693.3703712800993,59,13
D6948,2025-06-17 16:00:00,20,Restaurant,Waiting Area,Phone,-30.547144981303006,227.22791104772475,63,22
D4995,2025-06-17 10:08:00,36,Restaurant,Checkout,Phone,-68.93568272443072,220.67590720172092,71,2
D4259,2025-06-17 18:30:00,53,Restaurant,Checkout,Laptop,-60.70881650724367,356.77069872428217,33,17
D5876,2025-06-17 17:00:00,56,Restaurant,Display Area,Smartwatch,-77.50912463512182,785.7166153123638,69,23
D5876,2025-06-17 17:00:00,56,Restaurant,Display Area,Smartwatch,-77.50912463512182,785.7166153123638,69,23
D2392,2025-06-17 17:59:00,46,Restaurant,Waiting Area,Tablet,-60.37603318457033,512.4546248696017,94,7
D5876,2025-06-17 17:00:00,56,Restaurant,Display Area,Smartwatch,-77.50912463512182,785.7166153123638,69,23
D8979,2025-06-17 14:10:00,56,Restaurant,Checkout,Tablet,-58.51619982547962,277.0549331137607,34,4
D8305,2025-06-17 16:20:00,54,Restaurant,Waiting Area,Smartwatch,-53.9356208906767,370.29402851870896,53,12
D3419,2025-06-17 18:17:00,14,Restaurant,Display Area,Tablet,-33.966689016808786,727.1168466176857,51,9
D6711,2025-06-17 15:23:00,57,Restaurant,Display Area,Tablet,-59.031268023902804,773.1739253138994,91,13
D8979,2025-06-17 14:10:00,56,Restaurant,Checkout,Tablet,-58.51619982547962,277.0549331137607,34,4
D2760,2025-06-17 11:14:00,40,Restaurant,Display Area,Laptop,-47.15045651656461,375.9676907780917,99,13
D5590,2025-06-17 14:09:00,5,Restaurant,Entrance,Tablet,-40.64475029707074,687.4217473304955,19,3
D9004,2025-06-17 17:09:00,49,Restaurant,Entrance,Tablet,-38.04724190401026,39.792160629443444,84,12
D7389,2025-06-17 19:00:00,18,Restaurant,Checkout,Phone,-42.49173733338085,174.57841004083778,40,1
D8591,2025-06-17 17:15:00,34,Restaurant,Waiting Area,Laptop,-59.823560354165174,185.19836828911758,78,21
D3342,2025-06-17 08:07:00,18,Restaurant,Waiting Area,Tablet,-77.86213720014445,849.9003018974453,29,13
