device_id,timestamp,duration_minutes,business_type,zone,device_type,signal_strength_dBm,data_used_MB,session_duration_minutes,peak_usage_hour
D3993,2025-06-17 11:17:00,6,Supermarket,Waiting Area,Phone,-80.52104389266165,845.174312980972,110,22
D9387,2025-06-17 17:49:00,49,Supermarket,Waiting Area,Laptop,-77.80030391194624,38.062514174782905,103,12
D1853,2025-06-17 13:27:00,28,Supermarket,Seating,Laptop,-89.61959646767123,876.1596889931473,87,17
D3436,2025-06-17 13:54:00,34,Supermarket,Display Area,Smartwatch,-62.71026865260464,808.9966519862644,103,22
D3117,2025-06-17 13:35:00,39,Supermarket,Seating,Tablet,-62.46523538037239,593.5240124235681,93,18
D7537,2025-06-17 11:43:00,59,Supermarket,Seating,Smartwatch,-76.05652215658236,205.3040135842241,102,19
D1895,2025-06-17 13:20:00,47,Supermarket,Display Area,Tablet,-41.10709625221556,570.3118499692252,35,5
D2878,2025-06-17 19:40:00,12,Supermarket,Checkout,Phone,-84.66799659345345,70.44354784068372,70,23
D4515,2025-06-17 09:11:00,32,Supermarket,Checkout,Smartwatch,-45.45930247395168,589.9627283604052,47,21
D4515,2025-06-17 09:11:00,32,Supermarket,Checkout,Smartwatch,-45.45930247395168,589.9627283604052,47,21
D8274,2025-06-17 11:10:00,48,Supermarket,Entrance,Tablet,-59.111079917631216,636.1365926280515,90,22
D7869,2025-06-17 19:13:00,49,Supermarket,Entrance,Laptop,-33.35313321823595,643.2020710350487,87,17
D3205,2025-06-17 09:37:00,16,Supermarket,Checkout,Phone,-72.63818071989368,924.1963830029788,60,10
D7925,2025-06-17 10:11:00,9,Supermarket,Seating,Laptop,-54.29632707969731,968.6047160329241,75,17
D7771,2025-06-17 18:35:00,29,Supermarket,Seating,Smartwatch,-59.45650269913307,78.1999789733735,21,5
D3178,2025-06-17 09:53:00,4,Supermarket,Display Area,Laptop,-78.72419485532113,640.5069663812967,32,16
D8483,2025-06-17 19:20:00,29,Supermarket,Display Area,Laptop,-44.866356347444636,972.3379822713375,55,11
D8274,2025-06-17 11:10:00,48,Supermarket,Entrance,Tablet,-59.111079917631216,636.1365926280515,90,22
D3947,2025-06-17 15:11:00,39,Supermarket,Seating,Laptop,-53.3639754644494,500.6181876026153,35,13
D6863,2025-06-17 14:43:00,23,Supermarket,Checkout,Laptop,-85.58240622225465,385.83645341103306,14,5
D8483,2025-06-17 19:20:00,29,Supermarket,Display Area,Laptop,-44.866356347444636,972.3379822713375,55,11
D8394,2025-06-17 16:38:00,4,Supermarket,Display Area,Smartwatch,-36.67950499983601,78.70482343498784,3,11
D8554,2025-06-17 10:03:00,24,Supermarket,Waiting Area,Tablet,-79.59877923078344,929.0420214573516,1,12
D7537,2025-06-17 11:43:00,59,Supermarket,Seating,Smartwatch,-76.05652215658236,205.3040135842241,102,19
D4729,2025-06-17 14:52:00,39,Supermarket,Display Area,Phone,-50.657635392953615,488.43448604296606,12,0
D8150,2025-06-17 13:47:00,41,Supermarket,Waiting Area,Tablet,-77.29923330981786,776.4386392467442,75,23
D3409,2025-06-17 13:09:00,23,Supermarket,Waiting Area,Smartwatch,-36.409637215615724,510.82773603717277,111,7
D7771,2025-06-17 18:35:00,29,Supermarket,Seating,Smartwatch,-59.45650269913307,78.1999789733735,21,5
D5858,2025-06-17 11:24:00,8,Supermarket,Waiting Area,Phone,-31.99269281254901,761.4361353112188,95,10
D9788,2025-06-17 15:34:00,52,Supermarket,Entrance,Laptop,-51.760284107633574,984.930481476441,5,9
D8424,2025-06-17 11:12:00,57,Supermarket,Waiting Area,Tablet,-54.88867182537292,900.9482215516837,37,2
D2979,2025-06-17 15:09:00,25,Supermarket,Display Area,Smartwatch,-43.40840112211759,899.6947873140136,70,1
D3000,2025-06-17 14:21:00,60,Supermarket,Entrance,Smartwatch,-75.56682592961975,475.3684280809954,102,11
D3740,2025-06-17 12:42:00,32,Supermarket,Checkout,Tablet,-86.07364598246318,63.933670730902776,100,13
D8554,2025-06-17 10:03:00,24,Supermarket,Waiting Area,Tablet,-79.59877923078344,929.0420214573516,1,12
D7878,2025-06-17 20:00:00,8,Supermarket,Seating,Laptop,-58.261491429075534,944.9889516317592,92,2
D1853,2025-06-17 13:27:00,28,Supermarket,Seating,Laptop,-89.61959646767123,876.1596889931473,87,17
D3349,2025-06-17 14:56:00,16,Supermarket,Display Area,Smartwatch,-73.18816460491144,881.3532051595995,5,2
D3349,2025-06-17 14:56:00,16,Supermarket,Display Area,Smartwatch,-73.18816460491144,881.3532051595995,5,2
D3032,2025-06-17 13:00:00,4,Supermarket,Seating,Smartwatch,-56.34494472645968,194.9975477027982,44,5
D3349,2025-06-17 14:56:00,16,Supermarket,Display Area,Smartwatch,-73.18816460491144,881.3532051595995,5,2
D2457,2025-06-17 17:48:00,12,Supermarket,Display Area,Laptop,-76.72255626004687,165.9505607138425,53,18
D7558,2025-06-17 16:55:00,20,Supermarket,Seating,Laptop,-30.342814996265787,409.66568781306273,96,5
D8394,2025-06-17 16:38:00,4,Supermarket,Display Area,Smartwatch,-36.67950499983601,78.70482343498784,3,11
D7925,2025-06-17 10:11:00,9,Supermarket,Seating,Laptop,-54.29632707969731,968.6047160329241,75,17
D2457,2025-06-17 17:48:00,12,Supermarket,Display Area,Laptop,-76.72255626004687,165.9505607138425,53,18
D9494,2025-06-17 10:50:00,54,Supermarket,Display Area,Laptop,-52.065388637185386,498.86909310354207,114,9
D7537,2025-06-17 11:43:00,59,Supermarket,Seating,Smartwatch,-76.05652215658236,205.3040135842241,102,19
D1853,2025-06-17 18:16:00,32,Supermarket,Entrance,Laptop,-75.85074703406002,738.3166593826141,37,23
D5565,2025-06-17 10:32:00,50,Supermarket,Seating,Smartwatch,-44.9017409242557,627.9587874913608,104,1
D3578,2025-06-17 17:08:00,28,Supermarket,Entrance,Laptop,-75.3825525162803,576.083896471339,55,4
D6421,2025-06-17 16:12:00,13,Supermarket,Checkout,Phone,-47.337088461323134,885.9888443008857,108,16
D5858,2025-06-17 11:24:00,8,Supermarket,Waiting Area,Phone,-31.99269281254901,761.4361353112188,95,10
D8554,2025-06-17 10:03:00,24,Supermarket,Waiting Area,Tablet,-79.59877923078344,929.0420214573516,1,12
D6759,2025-06-17 15:41:00,50,Supermarket,Seating,Phone,-77.90494617573448,289.6826339276689,114,11
D4517,2025-06-17 13:30:00,59,Supermarket,Waiting Area,Phone,-62.50718899770928,219.68775912910056,120,15
D6423,2025-06-17 19:25:00,42,Supermarket,Seating,Tablet,-80.90569776634757,797.8287428068317,88,6
D3178,2025-06-17 09:53:00,4,Supermarket,Display Area,Laptop,-78.72419485532113,640.5069663812967,32,16
D8483,2025-06-17 19:20:00,29,Supermarket,Display Area,Laptop,-44.866356347444636,972.3379822713375,55,11
D2422,2025-06-17 10:34:00,10,Supermarket,Seating,Smartwatch,-49.490910083977234,748.09136003105,12,0
D3740,2025-06-17 12:42:00,32,Supermarket,Checkout,Tablet,-86.07364598246318,63.933670730902776,100,13
D8554,2025-06-17 10:03:00,24,Supermarket,Waiting Area,Tablet,-79.59877923078344,929.0420214573516,1,12
